region,product,revenue,units
East,Alpha,1200,10
East,Beta,850,18
East,Gamma,1900,42
East,Alpha,450,5
East,Beta,1520,31
East,Gamma,300,3
East,Alpha,760,12
East,Beta,990,22
East,Gamma,1250,27
East,Alpha,610,8
West,Alpha,1750,39
West,Beta,240,4
West,Gamma,1380,29
West,Alpha,520,6
West,Beta,1110,24
West,Gamma,2000,45
West,Alpha,890,15
West,Beta,430,7
West,Gamma,1640,35
West,Alpha,700,11
North,Alpha,330,2
North,Beta,1230,26
North,Gamma,980,17
North,Alpha,1500,33
North,Beta,560,9
North,Gamma,1740,38
North,Alpha,240,3
North,Beta,1330,28
North,Gamma,420,6
North,Alpha,1050,20
South,Alpha,960,16
South,Beta,1870,41
South,Gamma,640,10
South,Alpha,1420,30
South,Beta,380,5
South,Gamma,1290,25
South,Alpha,1180,21
South,Beta,820,14
South,Gamma,1570,34
South,Alpha,500,7
